"state","area_of_expenditure","broad_source_of_funding","detailed_source_of_funding","real_expenditure_millions","financial_year"
"TAS","Research","Non-government","Other non-government",1,2004
"ACT","Administration","Government","Australian Government",67,2004
"ACT","Administration","Government","State and local",103,2004
"ACT","Administration","Non-government","Private health insurance funds",11,2004
"ACT","Aids and appliances","Government","Australian Government",5,2004
"ACT","Aids and appliances","Non-government","Individuals",18,2004
"ACT","Aids and appliances","Non-government","Other non-government",1,2004
"ACT","Aids and appliances","Non-government","Private health insurance funds",4,2004
"ACT","All other medications","Government","Australian Government",3,2004
"ACT","All other medications","Non-government","Individuals",44,2004
"ACT","All other medications","Non-government","Other non-government",1,2004
"ACT","All other medications","Non-government","Private health insurance funds",1,2004
"ACT","Benefit-paid pharmaceuticals","Government","Australian Government",76,2004
"ACT","Benefit-paid pharmaceuticals","Non-government","Individuals",20,2004
"ACT","Capital expenditure","Government","Australian Government",4,2004
"ACT","Capital expenditure","Government","State and local",29,2004
"ACT","Capital expenditure","Non-government","Other non-government",50,2004
"ACT","Community health","Government","Australian Government",7,2004
"ACT","Community health","Government","State and local",127,2004
"ACT","Community health","Non-government","Individuals",8,2004
"ACT","Community health","Non-government","Other non-government",12,2004
"ACT","Community health","Non-government","Private health insurance funds",0,2004
"ACT","Dental services","Government","Australian Government",9,2004
"ACT","Dental services","Government","State and local",9,2004
"ACT","Dental services","Non-government","Individuals",72,2004
"ACT","Dental services","Non-government","Other non-government",0,2004
"ACT","Dental services","Non-government","Private health insurance funds",18,2004
"ACT","Medical expense tax rebate","Government","Australian Government",12,2004
"ACT","Medical expense tax rebate","Non-government","Individuals",-12,2004
"ACT","Medical services","Government","Australian Government",214,2004
"ACT","Medical services","Non-government","Individuals",64,2004
"ACT","Medical services","Non-government","Other non-government",12,2004
"ACT","Medical services","Non-government","Private health insurance funds",8,2004
"ACT","Other health practitioners","Government","Australian Government",4,2004
"ACT","Other health practitioners","Non-government","Individuals",39,2004
"ACT","Other health practitioners","Non-government","Other non-government",9,2004
"ACT","Other health practitioners","Non-government","Private health insurance funds",7,2004
"ACT","Patient transport services","Government","Australian Government",4,2004
"ACT","Patient transport services","Government","State and local",4,2004
"ACT","Patient transport services","Non-government","Individuals",0,2004
"ACT","Patient transport services","Non-government","Other non-government",1,2004
"ACT","Patient transport services","Non-government","Private health insurance funds",9,2004
"ACT","Private hospitals","Government","Australian Government",33,2004
"ACT","Private hospitals","Government","State and local",0,2004
"ACT","Private hospitals","Non-government","Individuals",23,2004
"ACT","Private hospitals","Non-government","Other non-government",8,2004
"ACT","Private hospitals","Non-government","Private health insurance funds",45,2004
"ACT","Public health","Government","Australian Government",23,2004
"ACT","Public health","Government","State and local",25,2004
"ACT","Public health","Non-government","Individuals",1,2004
"ACT","Public health","Non-government","Other non-government",6,2004
"ACT","Public hospitals","Government","Australian Government",163,2004
"ACT","Public hospitals","Government","State and local",281,2004
"ACT","Public hospitals","Non-government","Individuals",10,2004
"ACT","Public hospitals","Non-government","Other non-government",43,2004
"ACT","Public hospitals","Non-government","Private health insurance funds",7,2004
"ACT","Research","Government","Australian Government",147,2004
"ACT","Research","Government","State and local",16,2004
"ACT","Research","Non-government","Other non-government",6,2004
"NT","Administration","Government","Australian Government",21,2004
"NT","Administration","Government","State and local",37,2004
"NT","Administration","Non-government","Private health insurance funds",1,2004
"NT","Aids and appliances","Government","Australian Government",2,2004
"NT","Aids and appliances","Non-government","Individuals",12,2004
"NT","Aids and appliances","Non-government","Other non-government",0,2004
"NT","Aids and appliances","Non-government","Private health insurance funds",2,2004
"NT","All other medications","Government","Australian Government",4,2004
"NT","All other medications","Non-government","Individuals",22,2004
"NT","All other medications","Non-government","Other non-government",0,2004
"NT","All other medications","Non-government","Private health insurance funds",0,2004
"NT","Benefit-paid pharmaceuticals","Government","Australian Government",33,2004
"NT","Benefit-paid pharmaceuticals","Non-government","Individuals",6,2004
"NT","Capital expenditure","Government","Australian Government",8,2004
"NT","Capital expenditure","Government","State and local",10,2004
"NT","Capital expenditure","Non-government","Other non-government",23,2004
"NT","Community health","Government","Australian Government",74,2004
"NT","Community health","Government","State and local",126,2004
"NT","Community health","Non-government","Individuals",2,2004
"NT","Community health","Non-government","Other non-government",0,2004
"NT","Community health","Non-government","Private health insurance funds",0,2004
"NT","Dental services","Government","Australian Government",2,2004
